pipeline_status,execution_time,commit_id,files_changed,lines_added,lines_removed,commit_timestamp,developer_id
Success,53.6,2a935d62,6,13,16,2024-01-07 06:20:55,dev_13
Success,49.7,36b82481,1,69,35,2024-01-07 07:29:08,dev_07
Failure,154.1,0f02bad0,10,110,127,2024-01-07 08:54:03,dev_14
Success,28.8,fc3d3348,4,123,67,2024-01-07 10:22:44,dev_03
Failure,138.5,c8b8d9c6,14,541,323,2024-01-07 11:45:54,dev_07
Success,42.1,6c4a37ea,5,94,22,2024-01-07 13:27:18,dev_13
Success,35.2,fed4057d,2,20,11,2024-01-07 15:27:26,dev_12
Failure,160.5,b7e99aca,5,1235,66,2024-01-07 16:33:20,dev_13
Success,36.3,4bf50b52,17,21,25,2024-01-07 17:39:17,dev_08
Success,56.3,944528c0,11,91,38,2024-01-07 19:58:07,dev_04
Success,20.6,bf7b539b,1,49,27,2024-01-07 21:02:31,dev_12
Success,45.7,958ca9ba,2,97,11,2024-01-07 22:03:25,dev_06
Success,60.1,da4bd9ca,1,51,10,2024-01-08 00:00:10,dev_08
Success,36.3,f5f59b22,6,100,30,2024-01-08 01:09:26,dev_09
Failure,194.8,2f923996,42,987,720,2024-01-08 02:34:48,dev_09
Failure,155.8,acdabacc,4,775,220,2024-01-08 04:35:42,dev_02
Failure,195.8,1eb0e38a,26,212,85,2024-01-08 05:44:06,dev_14
Success,38.7,94340a03,2,219,24,2024-01-08 07:34:10,dev_15
Success,45.3,14fcdd54,2,72,19,2024-01-08 08:32:23,dev_10
Success,70.1,90b2b633,2,88,99,2024-01-08 10:39:26,dev_07
Failure,193.5,42c18a62,45,594,131,2024-01-08 11:48:58,dev_09
Success,38.8,506e5a9a,9,165,11,2024-01-08 13:40:11,dev_04
Failure,199.2,21813d25,23,117,218,2024-01-08 14:45:56,dev_04
Success,50.0,750cab75,1,197,10,2024-01-08 16:38:43,dev_11
Success,58.0,ef8c485b,1,36,56,2024-01-08 18:25:44,dev_06
Success,65.3,9f044aed,2,52,13,2024-01-08 19:00:33,dev_02
Success,49.2,12c136e0,3,71,122,2024-01-08 21:29:45,dev_10
Success,28.1,43e42caf,1,215,112,2024-01-08 22:12:47,dev_09
Success,73.2,e1805081,11,132,11,2024-01-09 00:25:59,dev_03
Success,65.2,5e9953d2,11,269,28,2024-01-09 01:52:45,dev_02
Success,45.8,d5704f32,8,23,106,2024-01-09 02:39:27,dev_05
Failure,61.4,9c96e9ec,1,50,69,2024-01-09 04:42:12,dev_09
Failure,128.4,0200b1f0,10,485,554,2024-01-09 06:09:14,dev_13
Success,25.6,4ca415ea,2,70,11,2024-01-09 07:49:01,dev_11
Failure,72.7,f05db76e,3,256,23,2024-01-09 09:09:48,dev_15
Success,61.9,1d8cbbac,1,334,11,2024-01-09 10:08:03,dev_15
Failure,180.6,8da01097,89,448,230,2024-01-09 11:36:25,dev_15
Success,44.6,9ad620ab,1,31,6,2024-01-09 13:16:20,dev_03
Success,10.0,341ef40b,1,159,29,2024-01-09 15:13:03,dev_04
Success,61.4,439472e6,1,30,84,2024-01-09 16:38:03,dev_11
Failure,59.0,e7c421c7,2,113,26,2024-01-09 17:59:18,dev_09
Failure,230.9,17a0df49,6,657,53,2024-01-09 19:50:45,dev_15
Success,41.4,46d483f3,1,115,15,2024-01-09 20:55:24,dev_11
Success,39.4,c56811cd,8,60,49,2024-01-09 22:00:12,dev_01
Failure,193.0,430f801d,36,106,67,2024-01-10 00:08:13,dev_03
Success,26.2,8d3aed99,7,51,17,2024-01-10 01:44:28,dev_03
Success,13.8,0279b6a6,2,107,26,2024-01-10 02:55:39,dev_12
Success,70.4,e21342b0,6,25,86,2024-01-10 04:04:30,dev_02
Success,49.6,8babce3b,7,65,5,2024-01-10 06:24:14,dev_12
Failure,111.6,951f58d0,5,1000,882,2024-01-10 07:50:04,dev_01
Failure,187.8,20a04502,7,109,541,2024-01-10 08:38:53,dev_09
Failure,30.3,e623a689,5,187,14,2024-01-10 10:18:29,dev_01
Failure,246.6,dc570131,37,1135,231,2024-01-10 12:17:46,dev_15
Failure,60.2,35c7936c,3,58,34,2024-01-10 13:53:56,dev_01
Failure,155.5,1a50aec3,23,143,234,2024-01-10 14:44:58,dev_11
Success,23.9,e256a6dc,6,45,38,2024-01-10 16:46:48,dev_06
Success,36.4,9ee3ac2a,12,141,14,2024-01-10 17:54:22,dev_14
Failure,46.8,ee0caeb5,2,157,9,2024-01-10 19:09:16,dev_12
Success,55.6,f9e8a369,3,126,27,2024-01-10 21:21:52,dev_04
Failure,36.6,e1a47e10,2,99,22,2024-01-10 22:48:38,dev_13
Success,47.7,bc8f7d29,1,310,28,2024-01-10 23:31:29,dev_07
Success,25.0,ee49f329,7,117,52,2024-01-11 01:19:55,dev_15
Failure,197.2,dd334cc7,13,225,929,2024-01-11 03:18:08,dev_07
Success,48.1,444d610b,10,13,52,2024-01-11 04:48:38,dev_12
Success,45.4,1bac27a7,15,298,30,2024-01-11 06:17:14,dev_03
Success,45.4,dbccc477,1,100,15,2024-01-11 07:52:19,dev_07
Failure,172.5,d10bd1d0,20,307,308,2024-01-11 08:43:20,dev_08
Success,38.4,4e20fd1a,2,108,91,2024-01-11 10:27:37,dev_15
Failure,183.3,3a43b2ba,3,1120,54,2024-01-11 12:17:43,dev_14
Success,61.0,3170f437,25,53,63,2024-01-11 13:01:25,dev_04
Success,38.3,dd463c09,4,216,170,2024-01-11 14:49:41,dev_07
Success,66.8,4774bc58,2,21,22,2024-01-11 16:58:00,dev_02
Failure,178.6,6651529e,6,121,53,2024-01-11 18:08:29,dev_06
Failure,48.5,89456f27,1,309,66,2024-01-11 19:58:52,dev_11
Success,28.2,1d870966,9,299,30,2024-01-11 21:26:21,dev_06
Failure,195.3,2db69edb,45,624,237,2024-01-11 22:58:13,dev_15
Success,154.5,43f59a85,5,224,91,2024-01-12 00:27:45,dev_10
Success,62.8,6f3f920c,9,272,216,2024-01-12 01:06:30,dev_01
Success,36.7,504d281f,6,129,11,2024-01-12 03:13:42,dev_06
Success,54.5,82ec9f2d,4,96,8,2024-01-12 04:36:22,dev_07
Failure,191.4,939b462d,5,1197,673,2024-01-12 05:53:06,dev_02
Success,50.0,b572f3d0,1,62,23,2024-01-12 07:15:17,dev_04
Success,37.2,ecf27e76,3,18,14,2024-01-12 08:30:06,dev_07
Success,48.4,b82c9074,3,99,74,2024-01-12 10:32:18,dev_13
Success,53.9,3270e4fa,4,41,89,2024-01-12 12:14:13,dev_12
Success,61.6,f2e9702d,5,191,52,2024-01-12 13:25:52,dev_06
Success,42.5,9f871ce7,6,27,90,2024-01-12 15:25:14,dev_11
Success,47.2,1fe771d6,1,180,76,2024-01-12 16:39:48,dev_06
Failure,125.6,81d2c7de,8,579,844,2024-01-12 18:24:00,dev_12
Success,56.2,5380b904,7,21,62,2024-01-12 19:40:00,dev_05
Success,38.3,8dedf9fb,2,110,112,2024-01-12 21:11:49,dev_07
Success,47.9,aa38d0a1,1,97,21,2024-01-12 22:11:30,dev_03
Failure,157.6,e71e43a6,33,1915,743,2024-01-13 00:10:38,dev_07
Failure,195.1,4d0b0d1a,3,295,184,2024-01-13 01:36:55,dev_03
Success,23.3,001a9a8b,3,41,239,2024-01-13 03:02:52,dev_07
Success,12.0,6e0d2648,5,34,8,2024-01-13 04:17:12,dev_05
Success,54.8,a79ac9aa,2,311,11,2024-01-13 06:04:47,dev_13
Success,43.5,71316269,3,42,170,2024-01-13 07:27:53,dev_06
Success,26.2,7922bac2,2,33,6,2024-01-13 08:42:49,dev_11
Success,66.7,cbc84759,14,30,86,2024-01-13 10:54:04,dev_13
Success,47.9,15b52908,8,153,44,2024-01-13 11:40:10,dev_12
Success,55.6,a2086977,1,23,51,2024-01-13 13:30:55,dev_05
Failure,213.6,d1843324,13,133,224,2024-01-13 14:50:06,dev_10
Success,35.2,4f77a665,1,17,24,2024-01-13 16:14:05,dev_13
Success,30.5,25b8fd4b,2,128,83,2024-01-13 18:18:23,dev_04
Success,44.3,fbe33b24,1,79,43,2024-01-13 19:02:46,dev_01
Failure,41.3,c4bbb7a9,1,49,34,2024-01-13 21:06:40,dev_08
Failure,152.7,e2d9de5d,10,171,217,2024-01-13 22:27:19,dev_02
Failure,66.0,b7e58481,1,28,9,2024-01-14 00:04:32,dev_11
Success,58.9,664fa663,1,87,54,2024-01-14 01:23:02,dev_12
Success,64.8,b00805cc,7,51,72,2024-01-14 02:38:51,dev_04
Failure,48.0,dc45d539,3,141,8,2024-01-14 04:53:33,dev_01
Failure,200.9,c7468f59,5,1127,99,2024-01-14 06:23:07,dev_13
Success,36.4,cdda24ba,4,137,15,2024-01-14 07:13:07,dev_07
Success,41.1,0cdb1ca4,5,32,50,2024-01-14 09:01:04,dev_12
Success,20.0,d92c9227,6,65,21,2024-01-14 10:14:57,dev_09
Success,70.3,cd29a36f,1,211,39,2024-01-14 11:57:23,dev_02
Success,38.1,fce68504,10,64,17,2024-01-14 13:40:03,dev_08
Success,35.6,f335cba3,1,107,44,2024-01-14 15:05:43,dev_09
Success,50.9,9cd6c852,1,37,147,2024-01-14 16:53:29,dev_13
Success,56.6,81392443,3,38,86,2024-01-14 18:13:09,dev_14
Success,10.0,8c41561b,1,59,144,2024-01-14 19:49:50,dev_07
Success,44.3,be6033f7,2,158,10,2024-01-14 21:23:49,dev_08
Failure,199.1,425a609f,5,466,132,2024-01-14 22:28:28,dev_14
Failure,39.8,a33dc7af,2,106,54,2024-01-14 23:44:50,dev_13
Success,39.8,8573e793,5,74,79,2024-01-15 01:45:56,dev_05
Success,43.9,464c04af,9,33,9,2024-01-15 03:07:36,dev_08
Success,44.4,49257af1,1,23,29,2024-01-15 04:04:38,dev_08
Failure,216.7,51d87c64,13,121,82,2024-01-15 05:46:18,dev_04
Failure,50.2,236c7b87,3,119,11,2024-01-15 07:32:24,dev_15
Failure,155.0,b1a6b1f1,21,212,273,2024-01-15 08:43:52,dev_03
Failure,256.6,10714d51,20,1010,628,2024-01-15 10:42:23,dev_03
Success,61.6,8ae8905b,4,213,38,2024-01-15 11:54:27,dev_07
Success,62.8,34f3193c,3,115,9,2024-01-15 13:24:56,dev_08
Success,49.8,e7a37e81,1,387,25,2024-01-15 14:55:12,dev_14
Success,51.3,b20dcb6e,9,61,20,2024-01-15 16:35:02,dev_13
Success,42.7,c3fe0183,6,169,27,2024-01-15 18:21:24,dev_01
Failure,185.0,018267c4,8,328,150,2024-01-15 19:22:49,dev_10
Success,69.6,63d62a39,3,37,23,2024-01-15 20:47:55,dev_06
Success,60.1,d5f25073,2,209,34,2024-01-15 22:53:29,dev_14
Failure,220.9,bc10fa52,9,339,151,2024-01-16 00:02:17,dev_07
Failure,81.6,e5d6f6e6,7,136,129,2024-01-16 01:47:59,dev_09
Success,184.2,45df16b6,3,621,506,2024-01-16 02:59:17,dev_04
Success,44.1,638c254c,2,20,31,2024-01-16 04:29:08,dev_07
Failure,216.7,cc530e36,8,912,204,2024-01-16 06:10:07,dev_06
Failure,117.2,d72b6108,11,164,89,2024-01-16 07:43:27,dev_07
Failure,116.3,fb10987f,14,717,72,2024-01-16 09:25:10,dev_08
Success,51.6,e82c7d7b,7,89,6,2024-01-16 10:32:02,dev_10
Success,34.5,a9ba5a27,4,181,91,2024-01-16 12:05:30,dev_07
Success,35.1,6db99102,8,240,22,2024-01-16 13:05:02,dev_01
Success,34.9,2e85cb21,2,182,27,2024-01-16 15:22:00,dev_03
Success,49.2,53cd6268,4,28,58,2024-01-16 16:15:36,dev_01
Failure,218.6,56666f9f,4,111,255,2024-01-16 17:57:16,dev_04
Success,78.2,473bd358,4,78,181,2024-01-16 19:52:46,dev_13
Success,53.5,6bebac31,3,65,55,2024-01-16 21:27:04,dev_13
Failure,245.1,78660765,4,1223,92,2024-01-16 22:50:05,dev_05
Failure,189.4,0d557b61,9,135,196,2024-01-17 00:14:56,dev_01
Success,21.7,1190f938,4,49,21,2024-01-17 01:13:27,dev_06
Success,34.4,0a4e5b70,5,91,57,2024-01-17 03:27:26,dev_13
Success,44.2,3f4df561,1,127,13,2024-01-17 04:01:51,dev_13
Failure,223.7,9f0fda8d,11,805,135,2024-01-17 06:20:21,dev_04
Failure,204.4,793b4c32,10,182,1028,2024-01-17 07:14:18,dev_03
Success,47.9,f2a03459,8,83,44,2024-01-17 08:36:51,dev_11
Success,40.4,41992fdf,7,133,6,2024-01-17 10:27:54,dev_04
Failure,106.6,9b1bc895,9,145,602,2024-01-17 11:52:08,dev_13
Success,52.6,b7e6427c,4,82,105,2024-01-17 13:57:49,dev_10
Success,46.2,29ec8e49,8,33,111,2024-01-17 15:16:40,dev_02
Success,43.5,0692dc63,9,173,67,2024-01-17 16:06:29,dev_05
Failure,181.1,ad66a1bd,10,195,287,2024-01-17 17:48:43,dev_15
Success,44.9,658b2523,1,208,107,2024-01-17 19:57:29,dev_15
Success,29.0,9793b9b4,6,29,32,2024-01-17 20:41:53,dev_12
Failure,167.8,3e2b6091,3,172,709,2024-01-17 22:49:50,dev_12
Success,30.9,4d3485c5,3,47,33,2024-01-18 00:11:49,dev_02
Success,174.2,ce3714af,17,625,82,2024-01-18 01:41:03,dev_14
Success,47.2,90e0f4a0,3,15,215,2024-01-18 03:17:46,dev_02
Failure,166.5,8861fe18,5,164,122,2024-01-18 04:02:27,dev_13
Success,51.6,11a72609,1,81,233,2024-01-18 06:09:41,dev_07
Success,62.9,033d2bce,3,65,10,2024-01-18 07:38:51,dev_09
Success,53.1,7d7ddbed,1,55,26,2024-01-18 08:55:12,dev_14
Failure,210.4,5cb85aed,11,428,53,2024-01-18 10:26:00,dev_02
Success,44.8,75b17a55,1,86,14,2024-01-18 12:23:29,dev_11
Success,53.7,2d174fc9,3,196,9,2024-01-18 13:09:10,dev_12
Failure,125.1,a6846099,8,768,179,2024-01-18 15:01:18,dev_12
Success,20.8,eb6c1016,9,320,66,2024-01-18 16:36:57,dev_05
Success,77.4,7701f7bb,3,39,78,2024-01-18 18:16:28,dev_09
Success,35.9,97ac6aa8,5,105,7,2024-01-18 19:49:32,dev_07
Success,165.4,3ed8c56c,23,458,278,2024-01-18 20:49:20,dev_05
Failure,187.4,4767d76c,50,768,137,2024-01-18 22:56:04,dev_14
Failure,227.4,c01f36bf,25,641,90,2024-01-18 23:57:02,dev_15
Failure,208.8,ab0e664e,4,1818,120,2024-01-19 01:34:11,dev_08
Success,64.9,7e8adee7,2,33,10,2024-01-19 02:50:11,dev_07
Success,53.3,7cd0129d,1,355,69,2024-01-19 04:19:30,dev_14
Success,53.1,4223623b,4,97,60,2024-01-19 05:51:17,dev_04
Failure,222.9,989d9d4a,42,227,143,2024-01-19 07:16:46,dev_06
Success,41.7,8e485223,4,296,16,2024-01-19 09:22:48,dev_12
Success,40.8,30e912f2,2,179,84,2024-01-19 10:30:59,dev_01
Success,52.4,680bac63,2,150,29,2024-01-19 11:44:28,dev_02
Success,56.0,3d85de89,1,88,172,2024-01-19 13:33:18,dev_08
Failure,158.9,b63b4dc3,5,170,308,2024-01-19 14:58:33,dev_12
Success,53.8,046a0df5,6,88,40,2024-01-19 16:26:53,dev_08
Failure,231.6,6786d506,15,683,463,2024-01-19 17:47:39,dev_02
Success,55.1,a9f948b2,1,38,56,2024-01-19 19:14:35,dev_12
Failure,246.8,8db06746,10,904,95,2024-01-19 20:52:08,dev_10
Success,195.8,ff233d5f,9,865,211,2024-01-19 22:20:37,dev_09
Success,43.2,5a104129,1,146,14,2024-01-20 00:03:01,dev_12
Failure,196.8,4e7ed827,8,1146,1171,2024-01-20 01:27:13,dev_12
Success,23.7,b8a6171f,6,227,40,2024-01-20 02:43:49,dev_05
Success,109.6,be2d740a,17,319,366,2024-01-20 04:18:55,dev_04
Success,68.1,b0ae8f08,3,112,7,2024-01-20 06:27:03,dev_09
Success,75.1,bd1531c8,5,173,17,2024-01-20 07:11:29,dev_03
Success,55.4,96ef2ad6,1,16,21,2024-01-20 08:46:35,dev_08
Success,59.3,48729a4d,3,25,20,2024-01-20 10:31:28,dev_13
Failure,139.0,4bd6cee6,6,555,316,2024-01-20 12:19:57,dev_02
Success,72.8,4d6168bd,1,62,78,2024-01-20 13:21:39,dev_04
Success,47.1,2067bdac,4,30,22,2024-01-20 15:12:28,dev_01
Success,18.5,0df56ac6,2,66,87,2024-01-20 16:02:43,dev_05
Failure,178.9,f1afdb65,27,406,181,2024-01-20 17:47:31,dev_09
Success,71.6,c0b6fce2,6,27,42,2024-01-20 19:38:16,dev_03
Success,43.5,0323d342,5,323,7,2024-01-20 20:36:09,dev_08
Failure,171.9,7a8d03aa,38,243,113,2024-01-20 22:17:03,dev_10
Success,10.0,f72ada9b,6,16,31,2024-01-20 23:50:26,dev_08
Success,58.3,dc99e04c,1,119,137,2024-01-21 01:15:08,dev_01
Success,56.9,10ba58e3,1,64,17,2024-01-21 02:36:50,dev_08
Success,26.2,93b7a886,3,367,42,2024-01-21 04:29:30,dev_07
Failure,188.0,26d794d3,5,227,107,2024-01-21 06:11:11,dev_11
Failure,225.9,f2f9e5fa,32,741,64,2024-01-21 07:48:40,dev_03
Success,51.5,3f897142,1,71,31,2024-01-21 08:35:06,dev_05
Success,58.6,6a8a616f,5,88,7,2024-01-21 10:33:29,dev_02
Success,35.3,9e50aa42,3,15,66,2024-01-21 12:05:46,dev_10
Failure,148.0,61607459,24,466,95,2024-01-21 13:46:32,dev_04
Success,58.2,4c1f55ab,9,37,29,2024-01-21 15:24:30,dev_08
Success,43.8,6dc7cac7,1,116,74,2024-01-21 16:35:18,dev_14
Success,58.8,0f6b40d0,14,32,34,2024-01-21 18:04:07,dev_05
Success,35.0,19675f06,7,60,103,2024-01-21 19:57:36,dev_10
Failure,166.6,3605bf54,20,888,126,2024-01-21 20:42:28,dev_13
Success,38.9,2834e4c0,5,26,28,2024-01-21 22:39:37,dev_05
Failure,176.8,1337739e,35,913,190,2024-01-21 23:40:25,dev_04
Success,51.8,735435ea,5,28,90,2024-01-22 01:00:09,dev_03
Success,203.2,4a8ff810,3,510,199,2024-01-22 03:05:37,dev_12
Success,49.9,b4fb0eb9,1,205,73,2024-01-22 04:13:53,dev_01
Success,13.2,743b65a2,2,73,73,2024-01-22 06:12:10,dev_05
Success,35.9,ec856f37,2,29,54,2024-01-22 07:41:14,dev_02
Failure,244.6,a003cd28,7,176,135,2024-01-22 09:17:16,dev_05
Success,40.2,ef04e57d,2,194,30,2024-01-22 10:39:40,dev_10
Success,38.0,8b6870b5,1,122,20,2024-01-22 11:55:30,dev_04
Success,48.0,e88da719,2,191,18,2024-01-22 13:38:51,dev_04
Success,52.7,1247ea4e,3,46,14,2024-01-22 15:19:35,dev_05
Success,47.7,4ebfa5c3,7,119,17,2024-01-22 16:09:57,dev_01
Success,61.6,91b78d8e,4,21,28,2024-01-22 18:14:56,dev_10
Failure,43.2,1fd5a423,16,21,26,2024-01-22 19:17:18,dev_15
Success,52.7,b321bf21,11,42,83,2024-01-22 21:11:19,dev_08
Success,41.1,801ef1da,1,339,56,2024-01-22 22:56:33,dev_07
Failure,50.5,1497d658,2,216,9,2024-01-22 23:59:37,dev_09
Failure,253.5,6e996e3e,3,416,121,2024-01-23 01:02:23,dev_10
Failure,218.0,40181c6e,8,779,59,2024-01-23 02:49:20,dev_12
Success,248.4,f63fce41,4,236,366,2024-01-23 04:05:28,dev_01
Failure,31.1,93403fad,22,203,34,2024-01-23 06:20:09,dev_11
Success,48.6,ffe3fa49,5,186,89,2024-01-23 07:57:02,dev_10
Success,52.7,44feacae,3,48,27,2024-01-23 09:10:20,dev_13
Success,65.6,c19ad58c,4,109,40,2024-01-23 10:02:24,dev_10
Failure,266.8,a6c9537f,13,155,147,2024-01-23 11:58:13,dev_03
Failure,42.4,2e76128b,6,80,45,2024-01-23 13:54:57,dev_08
Failure,162.8,d0725b5c,9,419,59,2024-01-23 14:56:09,dev_10
Failure,152.3,785299f4,12,209,238,2024-01-23 16:58:08,dev_08
Failure,167.6,5230dfbd,13,102,51,2024-01-23 17:54:30,dev_06
Success,33.7,292bd156,3,44,112,2024-01-23 19:06:16,dev_11
Failure,223.0,7ed70ed7,17,160,134,2024-01-23 20:54:41,dev_06
